"skills","average_sal","demand_count"
"pyspark","208172","2"
"bitbucket","189155","2"
"couchbase","160515","1"
"watson","160515","1"
"datarobot","155486","1"
"gitlab","154500","3"
"swift","153750","2"
"jupyter","152777","3"
"pandas","151821","9"
"elasticsearch","145000","1"
"golang","145000","1"
"numpy","143513","5"
"databricks","141907","10"
"linux","136508","2"
"kubernetes","132500","2"
"atlassian","131162","5"
"twilio","127000","1"
"airflow","126103","5"
"scikit-learn","125781","2"
"jenkins","125436","3"
"notion","125000","1"
"scala","124903","5"
"postgresql","123879","4"
"gcp","122500","3"
"microstrategy","121619","2"
